Month,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,AUS
Jul-01,238,202.2,157.4,164.1,175.2,116.3,121.4,80.599999999999994,206.8
Aug-01,181.8,178.9,123.4,139.69999999999999,145.1,75.599999999999994,95.1,77.400000000000006,167.3
Sep-01,177.8,156.9,112.9,115.7,120.2,84,87.7,71.3,155.4
Oct-01,156.4,132.4,101.9,107.8,120.5,73.400000000000006,55.2,69.8,137.19999999999999
Nov-01,153.69999999999999,135.1,104.3,133.4,127.2,71.599999999999994,86.4,62.2,137.9
Dec-01,131.5,121.4,90.4,109.5,126.3,78.5,90.1,57.3,120.7
Jan-02,117.7,114.1,97.3,121.7,109.6,97.6,97.5,66.400000000000006,113.2
Feb-02,119.3,113.1,96.7,118.7,131.9,77,81.400000000000006,67.8,114.9
Mar-02,115.1,120.6,103.5,120.3,119,86.2,74.2,70.3,114.9
Apr-02,115.2,113.8,97.2,127.5,123.5,95.4,84.3,104.7,114.2
May-02,113.4,114.7,104.6,116.7,120,116.8,82.7,83.4,113.2
Jun-02,109.1,110.1,97.5,120.5,118.1,119.6,126.5,82,108.9
Jul-02,100.7,103.8,95.6,117.1,107.9,121,87.2,77.400000000000006,101.9
Aug-02,108.4,107.4,103.3,120.8,112,122,101.6,98.8,108.2
Sep-02,97,97.6,103.6,110.1,115.2,122.3,97.4,97.8,99.9
Oct-02,102.2,100.1,106.1,110.6,105.6,143.69999999999999,111.7,96,102.8
Nov-02,105.5,106.3,109.8,104.7,109.2,121,122.9,102.8,106.8
Dec-02,104.4,99.4,111.2,118.2,106.5,128.5,109.7,115.7,104.9
Jan-03,107.8,104,108.7,112.6,118.6,123.1,105.7,110.4,107.6
Feb-03,95.4,101.2,95.1,91.8,99.3,134.6,85.7,99.7,97.1
Mar-03,90.1,94.4,91.6,88.4,99,87.8,65.900000000000006,91.5,91.7
Apr-03,87.8,88.2,87.1,79.5,96.9,82.4,75.8,82.4,87.8
May-03,85.9,82.1,83.1,73.8,95.4,89.5,91.2,99.1,84.8
Jun-03,86.4,85.5,86.3,76.900000000000006,95.8,74.5,65.5,107.9,86.6
Jul-03,85.1,81.099999999999994,91.4,83.4,90.4,77.599999999999994,78.900000000000006,101.6,84.9
Aug-03,88.6,86.1,92,93.9,82.2,87.2,78.599999999999994,95.8,88.1
Sep-03,87.1,92.7,92.6,92.8,87,87.4,68.3,97.4,89.6
Oct-03,93.1,97.5,93,94,91.6,110.1,92,90.3,94.1
Nov-03,72.900000000000006,80,81.7,85.7,81.900000000000006,82.3,63.3,85.4,77.2
Dec-03,81.2,86.9,89.3,84.9,75.8,109.9,79.400000000000006,97.4,83.8
Jan-04,84.7,85.2,90.5,86,91,100.1,84.8,93.2,85.8
Feb-04,90.9,88.7,97.7,88.7,85.8,81.8,138.5,108.5,90.8
Mar-04,102.2,97.4,104.6,103.3,95.5,75.5,169.8,114.5,100.5
Apr-04,103.1,100.5,109.4,100.5,88.2,79.7,150.30000000000001,109.9,101.5
May-04,103.9,99.6,107.8,97.5,85.7,81.2,109.9,109.2,101.2
