Month,NSW , VIC, QLD, SA , WA , TAS, NT , ACT, AUS
Jul-01,99,78,62.5,74.400000000000006,69.599999999999994,39.1,56.5,61.5,80.7
Aug-01,98.7,87.2,59.9,78.7,74.5,48.5,64,73.900000000000006,92
Sep-01,96.4,75.8,56,64.8,61.1,30,49.7,61.5,78.3
Oct-01,93.1,70.599999999999994,50.5,64.099999999999994,63.4,39.6,39,61.4,74.3
Nov-01,91.5,73.2,57.3,82.6,68.8,45,44.1,62,89.2
Dec-01,79.2,65.7,51.5,69.7,71.099999999999994,30.9,45.4,48.3,69.599999999999994
Jan-02,73.5,62.5,53.4,73.5,57.5,38.700000000000003,51.6,59.4,66.400000000000006
Feb-02,78,65.2,54.4,73.900000000000006,73.2,45.8,54.5,59.7,72.2
Mar-02,80.7,72.400000000000006,61.7,77.400000000000006,69.8,56.3,49.2,61.6,73
Apr-02,85.2,73.7,63.8,85.4,76.3,45.7,53.5,94.3,75.3
May-02,81.599999999999994,74.3,66.599999999999994,75.599999999999994,73.5,60.6,66.900000000000006,82.5,74.900000000000006
Jun-02,82.2,74.2,67.900000000000006,80.5,79.8,71.400000000000006,86,74.3,75.2
Jul-02,80.900000000000006,76.2,69.099999999999994,82.2,73.7,65.5,81.3,77.599999999999994,77.099999999999994
Aug-02,80.3,75.400000000000006,71.2,82.6,68.400000000000006,62.4,71.8,82.4,77.599999999999994
Sep-02,79.2,76.2,73.8,82.7,74.900000000000006,90.2,78,93.9,77.400000000000006
Oct-02,80.900000000000006,78,76.599999999999994,86.1,73,86.3,89.1,88.2,80.2
Nov-02,80.8,77.5,73.8,76.8,68.8,67,94.7,88.6,81.3
Dec-02,84.8,80.2,77.8,92.9,71.7,71.5,96.9,108.7,84.6
Jan-03,86.3,84.9,82.5,91.6,85.5,78.5,94.3,95.9,88.1
Feb-03,85.1,90.7,85.7,83.3,77.5,82.3,82.7,91.9,85.7
Mar-03,83.4,90.2,82.7,91.3,81.400000000000006,75.599999999999994,72.8,90.3,85.7
Apr-03,80.3,80.8,77.5,80.900000000000006,81.400000000000006,80.099999999999994,68.400000000000006,76.2,75.900000000000006
May-03,84.3,80.099999999999994,80.099999999999994,82.3,81.599999999999994,59.6,74.400000000000006,90.1,80.3
Jun-03,87,87.4,83.6,87.1,85,91.5,77.599999999999994,98.8,86.2
Jul-03,88.8,89.1,89,95.3,86.5,146.6,78.3,96.4,89.3
Aug-03,90.2,88.1,89.5,99.6,81,84,76.3,92.8,88.6
Sep-03,92.6,98.5,95.9,98.2,89.8,97.8,80.5,94.7,95.4
Oct-03,96.2,102.5,100.2,100.2,99.9,120.6,90.2,88.6,100.3
Nov-03,90.9,96.1,100,100.2,105.4,75.3,94.8,74.3,95.3
Dec-03,98.8,109.3,104.9,113.4,104,123.5,105.1,107.4,106.7
Jan-04,103.4,108.4,106.9,107,114.9,154.80000000000001,105.8,93.7,108.8
Feb-04,112.9,113.9,117.3,110.7,114.3,117,138.9,105.3,113.3
Mar-04,120.8,122.4,125.6,115.8,122.4,140.5,173,111.2,122.3
Apr-04,129,136.80000000000001,140.19999999999999,122.3,124.4,102.5,178,117.9,128.4
May-04,129,130.80000000000001,138.9,123.3,129.6,137,130.19999999999999,113.4,127.5
Jun-04,128.9,133.69999999999999,141.69999999999999,123.6,134.6,123.6,106.8,129.30000000000001,130.30000000000001
Jul-04,127.1,132.80000000000001,141.69999999999999,116.6,135.69999999999999,141.4,149.9,138.30000000000001,130.6
Aug-04,133.69999999999999,136,150.69999999999999,121.5,150,168,151.69999999999999,134.69999999999999,139.9
Sep-04,138.9,140.69999999999999,157.6,140.1,156.19999999999999,178.5,153.69999999999999,141.19999999999999,142.69999999999999
Oct-04,145.1,153.69999999999999,163.6,151.30000000000001,164.7,161.80000000000001,149.69999999999999,146.30000000000001,151.19999999999999
Nov-04,149.30000000000001,157.69999999999999,166.1,144.5,170.5,157.80000000000001,156.1,151.1,159.69999999999999
Dec-04,149.9,149.6,167.9,130.4,163.19999999999999,140.30000000000001,137.19999999999999,148.9,152.5
Jan-05,156.5,162.5,174.8,144.69999999999999,177.8,167.7,141.19999999999999,157.5,164.9
Feb-05,154,162.80000000000001,181.6,156.80000000000001,182,180.8,163.69999999999999,166,162.9
Mar-05,154.5,159.6,189.8,152.19999999999999,199.2,197.5,163,182.9,162.4
Apr-05,158,172.3,206.3,167,213.8,185,167.7,163.30000000000001,170.8
May-05,162.9,181.4,217.6,174.1,221.1,185.5,175,186.6,179.2
Jun-05,165.7,187.8,224.1,176.1,232.7,159.80000000000001,179.6,176.8,183
Jul-05,168.3,182,230.6,174.8,226.9,183.5,190,171.3,183.8
Aug-05,171.7,191.4,242.8,178.3,247.2,179.8,202.1,161.5,194.8
Sep-05,177.1,198.3,253.9,192.3,258,189.7,223.6,192.5,200
Oct-05,174.7,195.4,261.60000000000002,186.7,256.10000000000002,224,243.7,183.8,198.1
Nov-05,181.5,208.8,261.89999999999998,199.5,261.7,229.2,230.7,206.1,210.3
Dec-05,182.5,197.5,269.89999999999998,195.5,261.7,170.6,226.1,190,205.4
Jan-06,194.8,212.3,290.7,208,293.10000000000002,205.3,261.8,190.2,222.3
Feb-06,196.6,218.6,306.39999999999998,223.7,320.39999999999998,250.3,265.7,220.3,228.7
Mar-06,199.6,223.6,314.10000000000002,234.8,341.6,235.6,241.5,236.9,234.5
Apr-06,197.9,214.8,310.7,224.6,325.7,274.8,264.39999999999998,224.9,226.1
May-06,203.9,232.1,324.60000000000002,235.3,354.5,247.2,309.8,227.9,238.5
Jun-06,212.1,235.6,337,234.4,387.5,313.2,295.3,234.6,251.3
Jul-06,216.2,240.4,346.2,248,384.1,281.10000000000002,254.1,243.3,253.7
Aug-06,215.8,233.7,353.1,237.2,391.4,264,273.5,236,253.8
Sep-06,216,240.6,364.6,248.9,403.4,270.8,298.60000000000002,264.2,260
Oct-06,223.1,250.1,389.8,257.3,402.7,293.8,280.10000000000002,271.60000000000002,268.5
Nov-06,226.1,258.5,394,249.7,421.9,302.10000000000002,302,274.7,274.8
Dec-06,236.2,272.7,415.9,272.10000000000002,428.8,251.8,321.60000000000002,280.10000000000002,289
Jan-07,235.2,262,411.3,259.7,428,285.5,293.2,264.2,282
Feb-07,247.9,282.7,444.6,272.5,484,307.3,317.39999999999998,275.8,302.8
Mar-07,253.5,295.3,464.1,290.89999999999998,507.9,371.1,365,293.60000000000002,316.89999999999998
Apr-07,257.39999999999998,304.5,479.4,291.5,510.8,346.2,359.2,289,320.89999999999998
May-07,259.39999999999998,305.39999999999998,491.8,319.8,539.4,344,355.3,289.10000000000002,325.2
Jun-07,264.10000000000002,307.60000000000002,500.7,331.5,551.20000000000005,322.10000000000002,362.5,313.39999999999998,333.3
Jul-07,280.7,330.5,532.4,356.4,590.79999999999995,430.3,370.6,325.2,356.5
Aug-07,281.2,326.60000000000002,538.29999999999995,364.3,588.9,390.7,375.8,315,356
Sep-07,286.10000000000002,337.6,553.5,382.7,602.29999999999995,448.6,363.1,316.5,361.9
Oct-07,293.7,344.4,575.5,382.4,618.1,397.4,410.5,303.39999999999998,371.4
Nov-07,307,373.7,600,406.3,670.3,444.4,433.6,329,393.9
Dec-07,314.10000000000002,382.3,618.29999999999995,403.4,666.3,356.1,451,351,402.4
Jan-08,305.39999999999998,367.2,597.20000000000005,409.4,656.7,468.5,450.8,333.4,390
Feb-08,301.2,368.4,594.9,432.5,671.5,477.1,434.7,316.3,398.1
Mar-08,301,359.4,592,429.8,667.5,558.79999999999995,463.6,329.9,394.8
Apr-08,298.89999999999998,359.4,603.70000000000005,435.7,694.6,502.6,483.1,296,390.7
