,NSW , VIC, QLD, SA , WA , TAS, NT , ACT, AUS
Jul-01,98.9,77.900000000000006,62.3,74.2,69,36.9,55.9,61.4,83.9
Aug-01,98.6,87.3,59.8,78.400000000000006,74.099999999999994,40.6,63.6,74.5,86.8
Sep-01,96.4,75.8,56,65,61.3,35.5,49.6,61,80.400000000000006
Oct-01,93.1,70.7,50.7,64.400000000000006,63.6,39.200000000000003,39.200000000000003,61.7,77
Nov-01,91.5,73.099999999999994,57.8,82.5,69.3,40.799999999999997,44.3,62.1,78.900000000000006
Dec-01,79.2,65.7,51.9,69.8,71.7,39.4,45.5,48.1,69.8
Jan-02,73.599999999999994,62.5,53.7,73.5,57.8,41.1,51.6,59.5,66.2
Feb-02,78,65.3,54.5,74,73.3,43.9,54.4,60.1,70.2
Mar-02,80.599999999999994,72.400000000000006,61.6,77.3,69.8,49.2,49.3,61.2,74.099999999999994
Apr-02,85.2,73.7,63.6,85.2,76,51.7,53.6,94.7,78.5
May-02,81.599999999999994,74.3,66.2,75.7,73.099999999999994,60,67.099999999999994,82.7,76.599999999999994
Jun-02,82.1,74.099999999999994,67.5,80.400000000000006,79.2,64.400000000000006,85.8,74.2,77.400000000000006
Jul-02,80.8,76,68.7,82,73.099999999999994,66,80.7,77.7,77.2
Aug-02,80.3,75.5,70.900000000000006,82.3,68.099999999999994,68.900000000000006,71.400000000000006,82.8,76.900000000000006
Sep-02,79.2,76.2,73.8,82.8,75.099999999999994,79.3,78,93.3,77.900000000000006
Oct-02,80.900000000000006,78.2,76.900000000000006,86.2,73.2,82.2,89.5,88.6,79.599999999999994
Nov-02,80.900000000000006,77.5,74.099999999999994,76.8,69.3,77.400000000000006,95,88.6,78.400000000000006
Dec-02,84.9,80.2,78.2,92.9,72.2,81.8,97.1,108.4,82.9
Jan-03,86.4,85,83,91.7,85.9,78,94.4,96.1,86
Feb-03,85.1,90.7,86,83.4,77.599999999999994,83,82.5,92.4,86.3
Mar-03,83.4,90.2,82.7,91.2,81.3,71.3,72.8,90.1,85.3
Apr-03,80.3,80.8,77.2,80.8,81.2,73.3,68.5,76.3,79.8
May-03,84.3,80,79.7,82.4,81.3,71.900000000000006,74.5,90,82.4
Jun-03,86.9,87.3,83.2,87.1,84.3,91,77.5,98.8,86.6
Jul-03,88.8,89,88.6,95.1,85.8,109.7,77.900000000000006,96.5,89.1
Aug-03,90.1,88.1,89.1,99.4,80.7,100.7,76,93.1,89.2
Sep-03,92.5,98.6,96,98.2,90,97.2,80.599999999999994,94.3,94.6
Oct-03,96.3,102.7,100.5,100.2,100.1,102.3,90.5,89,98.7
Nov-03,90.9,96.1,100.5,100.3,106.2,99.7,95.2,74.2,94.5
Dec-03,98.9,109.5,105.5,113.5,104.7,130.9,105.3,107.5,103.8
Jan-04,103.4,108.5,107.4,107.1,115.5,136.9,105.9,93.5,106.1
Feb-04,112.9,113.9,117.5,110.8,114.6,126.7,138.19999999999999,103.2,113.8
Mar-04,120.9,122.5,125.6,115.7,122.3,125.2,173,111.5,121.9
Apr-04,128.9,136.69999999999999,139.9,122.2,124.1,111.7,178,117.9,131.80000000000001
May-04,128.9,130.6,138.30000000000001,123.2,129.1,126.1,130.1,113,130
Jun-04,128.80000000000001,133.5,140.80000000000001,123.5,133.5,127,106.9,129.6,131.80000000000001
Jul-04,127,132.5,141,116.5,134.69999999999999,143,149.1,138.1,131
Aug-04,133.6,136,150.1,121.5,149.30000000000001,159.69999999999999,151.6,135.30000000000001,137.5
Sep-04,138.9,140.69999999999999,157.6,140,156.5,170.3,153.4,140.5,143.5
Oct-04,145.1,153.9,164.1,151.19999999999999,165.2,165.1,150.19999999999999,146.4,151.80000000000001
Nov-04,149.4,157.69999999999999,167,144.69999999999999,171.6,165.3,156.6,151.69999999999999,155.6
Dec-04,150.1,149.9,169,130.6,164.1,168,137.69999999999999,149.4,153
Jan-05,156.6,162.6,175.7,145,178.6,169,141.30000000000001,157.19999999999999,162
