Month,NSW , VIC, QLD, SA , WA , TAS, NT , ACT, AUS
Jul-01,265.8,201.9,157.30000000000001,164.2,175.1,116,121.2,80.7,216.3
Aug-01,195.5,178.1,123.3,139.30000000000001,144.9,75.5,95.2,77.8,172.4
Sep-01,189,156.6,112.9,116.1,120.1,84.1,87.7,71.5,159.4
Oct-01,163.80000000000001,132.5,101.9,108.1,120.5,73.3,55.2,69.7,140
Nov-01,159.80000000000001,135.19999999999999,104.4,133.19999999999999,127.4,71.400000000000006,86.5,62,140.30000000000001
Dec-01,135.4,122,90.5,109.5,126.5,78.400000000000006,89.9,57.1,122.3
Jan-02,117.9,114.6,97.5,121.7,110,97.7,97.5,66.3,113.4
Feb-02,119.4,113.4,96.9,119.2,132.4,77.099999999999994,81,67.599999999999994,115.1
Mar-02,115,120.5,103.5,120.1,119.3,86.5,74,70.400000000000006,114.9
Apr-02,115.1,113.6,97.2,127.2,123.1,95.8,84.5,104.8,114.1
May-02,113.2,114.7,104.5,117,119.7,116.8,82.7,83.5,113
Jun-02,108.8,109.9,97.5,120.5,117.7,119.6,126.5,82.2,108.7
Jul-02,100.5,103.7,95.5,117.1,107.8,121.1,87.2,77.599999999999994,101.7
Aug-02,108.2,107,103.3,120.6,111.8,122.3,101.7,99.1,108
Sep-02,96.9,97.5,103.5,110.4,115.1,121.9,97.5,98.2,99.8
Oct-02,102.2,100.1,106.2,110.7,105.7,143.30000000000001,111.7,95.9,102.8
Nov-02,105.5,106.4,109.8,104.6,109.3,121,123,102.4,106.8
Dec-02,104.5,99.7,111.3,118.1,106.6,128.19999999999999,109.6,115.6,105.1
Jan-03,108.1,104.3,108.9,112.5,119,123.1,105.8,110.1,107.9
Feb-03,95.6,101.4,95.3,92.1,99.7,135.1,85.2,99.6,97.3
Mar-03,90.5,94.4,91.7,88.3,99.2,88.1,65.8,91.7,91.9
Apr-03,88.1,88.1,86.9,79.400000000000006,96.6,82.5,76,82.3,87.9
May-03,86.3,82.1,83,73.900000000000006,95.2,89.8,91.2,99.2,85
Jun-03,86.9,85.4,86.2,76.900000000000006,95.6,74.599999999999994,65.5,108,86.7
Jul-03,85.6,81.099999999999994,91.3,83.5,90.3,77.400000000000006,78.900000000000006,101.7,85.1
Aug-03,89,85.9,91.9,93.9,82.1,87.5,78.5,96,88.2
Sep-03,87.4,92.6,92.6,92.9,87,87.3,68.400000000000006,97.6,89.8
Oct-03,93.4,97.4,93,94.1,91.6,109.7,91.9,90.2,94.3
Nov-03,73,80.099999999999994,81.7,85.7,81.900000000000006,82.5,63.4,85.1,77.2
Dec-03,81.2,87.1,89.3,84.8,75.900000000000006,109.2,79.5,97.5,83.9
Jan-04,84.6,85.3,90.6,86.1,91.2,99.7,84.8,93,85.8
Feb-04,90.9,88.4,97.5,88,86.1,82,138.69999999999999,108.5,90.7
Mar-04,102,97.4,104.8,103.3,95.8,75.599999999999994,169.5,114.6,100.5
Apr-04,102.8,100.3,109.3,100.4,87.8,79.8,150.80000000000001,109.7,101.2
May-04,103.5,99.6,107.7,97.5,85.4,81.3,109.8,109.3,101
Jun-04,103.6,101.8,111,95.7,86.9,89.7,83.1,116.3,102.3
Jul-04,100.8,103.4,109.7,95.1,89,99,200.7,121.3,102.2
Aug-04,105.7,105.2,115.3,89.6,98.8,105.8,104.1,120.3,106.3
Sep-04,111,106.8,113.6,98.1,95.2,111.8,101.8,123.3,109
Oct-04,110,115.4,113,101.2,107.3,105.7,136.69999999999999,122.6,111.8
Nov-04,110.2,110.8,109.8,91.1,98,98.7,106.7,116.2,109
Dec-04,102.5,104.4,99.1,88.5,86,72.7,86.2,122.5,101.5
Jan-05,105.6,113.5,101.5,89.3,95.6,69,108.5,122,106.6
Feb-05,103.4,108,102.6,92.5,98.4,87.1,101.3,114.7,104.6
Mar-05,98.4,101,95.8,78.400000000000006,98,100.7,112.3,116.1,99.4
Apr-05,94.5,106,96.5,84.9,104.4,105.2,90.5,105.6,99.4
