Month,NSW , VIC, QLD, SA , WA , TAS, NT , ACT, AUS
Jul-01,265.8,202,157.5,164.2,175,115.7,112.2,74.900000000000006,216
Aug-01,195.6,178.6,123.4,139.1,145,75.900000000000006,106,74.099999999999994,172.4
Sep-01,189,156.9,113,116.1,120.4,84.2,85.1,68.2,159.4
Oct-01,163.9,132.5,101.8,108.1,120.7,73.2,59.2,66.900000000000006,140
Nov-01,159.80000000000001,135.19999999999999,104.4,133.1,127.4,71.7,88,60.2,140.19999999999999
Dec-01,135.30000000000001,121.7,90.3,109.5,126.8,78.5,85.9,55.1,122.2
Jan-02,117.8,114.4,97.5,121.7,110.1,97.7,97.2,65.3,113.3
Feb-02,119.4,113.4,96.9,119.1,132.30000000000001,77.400000000000006,89.8,66.5,115.1
Mar-02,115,120.6,103.6,120,119.2,86.7,73.900000000000006,69.400000000000006,114.9
Apr-02,115.1,113.6,97.3,127.1,122.9,95.7,83.2,103.3,114.1
May-02,113.2,114.6,104.6,117,119.5,116.4,87.3,82.7,113
Jun-02,108.8,110,97.6,120.5,117.5,119.9,121.6,81.2,108.7
Jul-02,100.5,103.8,95.6,117.1,107.8,121,97.5,76.8,101.8
Aug-02,108.2,107.2,103.4,120.5,111.9,122.8,95.4,97.8,108
Sep-02,96.9,97.6,103.6,110.4,115.3,121.9,98.3,97.3,99.9
Oct-02,102.2,100.2,106.1,110.7,105.8,143,113.6,95.1,102.8
Nov-02,105.5,106.4,109.8,104.6,109.3,121.4,121,101.6,106.8
Dec-02,104.5,99.5,111.2,118.1,106.8,128.30000000000001,112.2,115,105
Jan-03,108.1,104.2,108.9,112.6,119.1,123.3,106,109.4,107.8
Feb-03,95.5,101.5,95.4,92,99.6,135.6,84.5,98.7,97.3
Mar-03,90.5,94.4,91.8,88.3,99.1,88.2,74.3,91.4,91.9
Apr-03,88.1,88.1,87,79.400000000000006,96.4,82.4,72.400000000000006,82,87.9
May-03,86.3,82.1,83.1,73.900000000000006,95.1,89.6,85.3,99,85
Jun-03,86.9,85.4,86.2,76.900000000000006,95.4,74.8,74.2,107.8,86.8
Jul-03,85.6,81.099999999999994,91.4,83.5,90.3,77.400000000000006,77.2,101.7,85.1
Aug-03,89,86,91.9,93.8,82.2,87.8,76.599999999999994,96,88.2
Sep-03,87.4,92.7,92.6,92.9,87.1,87.3,71.599999999999994,97.7,89.8
Oct-03,93.4,97.5,93,94.1,91.7,109.4,82.8,90.5,94.3
Nov-03,73,80.099999999999994,81.8,85.7,82,82.6,67.599999999999994,85.2,77.2
Dec-03,81.2,87,89.2,84.8,76,109.5,83.7,98.1,83.9
Jan-04,84.6,85.3,90.5,86.1,91.3,100.3,82.2,93.7,85.8
Feb-04,91.1,87.9,97,88.6,86.1,79.099999999999994,133.4,110.1,90.6
Mar-04,102,97.5,104.7,103.2,95.7,75.7,162.9,115.7,100.5
Apr-04,102.8,100.4,109.3,100.4,87.8,79.8,151,110.7,101.3
May-04,103.5,99.5,107.8,97.5,85.4,81.099999999999994,119.8,110.1,101
Jun-04,103.6,101.9,111,95.7,86.8,89.8,85.8,117.3,102.3
Jul-04,100.8,103.3,109.7,95.1,89,99.1,171.3,122.5,102.2
Aug-04,105.7,105.2,115.3,89.7,98.8,106,107.4,121.4,106.3
Sep-04,111.1,106.8,113.6,98.1,95.3,111.7,124,124.4,109
Oct-04,110,115.5,113,101.2,107.4,105.6,107.4,123.7,111.9
Nov-04,110.2,110.9,109.8,91.1,98,98.9,118.9,117.3,109.1
Dec-04,102.6,104.3,99.1,88.5,86.2,72.900000000000006,88.8,123.6,101.6
Jan-05,105.6,113.5,101.5,89.3,95.6,69.400000000000006,103,122.9,106.6
Feb-05,103.4,108,102.7,92.3,98.3,87.4,109.9,115.3,104.6
Mar-05,98.4,100.9,95.8,78.400000000000006,97.9,100.6,106.9,117.1,99.4
Apr-05,94.5,106,96.6,84.9,104.4,105,98.5,106.7,99.5
May-05,94.5,103.6,94.9,83.8,99.5,82.2,95.9,114.6,98.3
Jun-05,92.4,103.4,94.3,85.8,101.4,79.8,88.2,108.3,97.1
Jul-05,91.8,102.3,92.1,78.8,101.9,71.900000000000006,98.2,99.4,96.1
Aug-05,90,99.8,92.2,75.2,102,85.4,102.4,89.3,94.3
Sep-05,90,102.1,94.6,73.3,104.2,73,106.5,102,95.8
Oct-05,86.1,99.8,95.6,73.2,95.7,75.3,99.5,95.2,93.1
Nov-05,90.8,101.8,97.9,73.8,104.2,85.4,85.9,103.5,96.5
Dec-05,93,101.8,100.9,70,109.4,68,85.1,93,98.1
Jan-06,87.9,96.4,94.9,65.099999999999994,101.4,71.2,100.3,83.8,92.7
Feb-06,90.7,101.2,101.5,69.900000000000006,108.7,70.8,110.9,93.8,97.5
Mar-06,90,101.4,102.5,69.599999999999994,110.3,80.900000000000006,93.4,107.6,97.8
Apr-06,95.6,101.4,106.8,70.900000000000006,114.2,75.5,104.1,101,101.1
May-06,90,103.5,102.1,69.5,121.1,70.099999999999994,107.3,95,98.9
Jun-06,92,101.2,101.3,62.5,122.1,56.6,95.6,92.5,98.8
Jul-06,86.7,97.7,100.2,60.4,116.7,54.1,81.900000000000006,93.3,94.6
Aug-06,87.9,94.7,100.6,58.8,112,51.1,85.6,94.4,94.2
Sep-06,87.3,96.9,98.8,62.1,115.1,62.1,95.2,100.7,95
Oct-06,86.9,94.2,99.3,60.6,111.7,51.7,83.9,100.5,93.7
Nov-06,89.2,98.8,100,56.6,115.2,48.2,86.4,106.4,96.3
Dec-06,90.6,101.7,101.3,58.6,122,54.2,89.1,104.2,98.3
Jan-07,92.3,99.8,103.5,57.6,117.2,48.5,71.8,98.7,98.5
Feb-07,92.3,103.9,107.4,56.3,125.6,48.8,79.3,105.1,101
Mar-07,93.1,108.1,112.4,59.4,138.9,49,89,106.9,104.5
Apr-07,90.7,104.3,108.9,53,127.1,47.8,83.9,98.4,100.4
May-07,93.3,108.1,115.1,60.8,137.30000000000001,46.8,85.7,102.1,105.1
Jun-07,94.5,108.9,118.3,61.2,139.6,55.8,92.5,109.6,106.6
Jul-07,94.9,106.6,112.3,62.9,132,63,81.400000000000006,108.6,104.8
Aug-07,93.4,106.4,114.5,63.3,139.4,58.7,93.4,102.6,105
Sep-07,96.3,112.3,120.8,67,146.1,59.6,81.8,104.9,109.5
Oct-07,92.3,107.6,118.3,62.9,138.69999999999999,55.1,88.8,99.3,105.3
Nov-07,93,111.4,116.9,66.900000000000006,145.5,60.1,87,100.1,107.2
Dec-07,88.4,111.8,113,65.900000000000006,130.69999999999999,57.1,83.7,102.5,103.7
Jan-08,84.9,106.5,105.1,63.1,129.19999999999999,55.6,82.9,95.5,99.1
Feb-08,84.1,103.4,103.4,67.8,130.1,69.3,72,86.2,97.9
Mar-08,80.3,99,99.8,65.099999999999994,118.4,61.3,84.1,87,93.6
Apr-08,74.900000000000006,96.5,96.4,61.9,119,60.4,83.2,81.2,89.7
May-08,73.2,92.4,91.3,65,111.7,63.8,90.5,85.5,86.9
Jun-08,68.8,87.4,85.8,60.2,109.7,63.4,90,78.5,82.2
Jul-08,63,80.5,78.7,51.7,98.9,53.5,66.5,73.400000000000006,75.400000000000006
Aug-08,62,80.7,75,50.9,99.3,47.5,68.7,78.599999999999994,74.5
Sep-08,56.4,73.7,69.599999999999994,51.4,92.2,40.5,66.2,68.099999999999994,68.599999999999994
Oct-08,50.5,66.099999999999994,64.900000000000006,45.9,87.7,34.5,68.599999999999994,66.5,62.7
Nov-08,45,59.9,57.6,46.3,74.400000000000006,49.5,67.7,64.900000000000006,56.2
Dec-08,42.6,56.4,53.3,42.8,67.900000000000006,43.2,63.3,57.1,52.5
Jan-09,39.1,52,46.7,38.1,53,39.5,56,55.7,47
Feb-09,35,48.1,39.700000000000003,33.4,43.5,34.299999999999997,47.4,51.3,41.6
Mar-09,32.1,41.8,33.5,31.6,37.299999999999997,42.9,45,46.7,36.799999999999997
Apr-09,30.6,41.6,33.200000000000003,30.3,34.9,34.299999999999997,43.4,44,35.799999999999997
May-09,29.2,41.6,31.3,28.4,35.299999999999997,30.6,36.1,43.5,34.6
Jun-09,28.3,39.799999999999997,30.1,27.5,31,36.9,38.9,41.4,33.1
Jul-09,29.3,40.9,30.9,28.1,31.8,32.1,34.1,42.5,34
Aug-09,29.2,41.5,32.200000000000003,30,32.9,31.5,43.4,38.5,34.5
Sep-09,30.2,42.4,32.1,30.6,33.299999999999997,32.6,47.6,37.799999999999997,35.200000000000003
Oct-09,31.6,46.4,32.5,31.6,35,34.299999999999997,53.6,42.3,37.200000000000003
Nov-09,34.700000000000003,49.2,34.200000000000003,29.9,35.799999999999997,34.200000000000003,46.9,41.8,39.299999999999997
Dec-09,34.4,50.8,35.299999999999997,30.7,38.700000000000003,33.4,49.3,40.9,40.200000000000003
Jan-10,36,51.8,35.9,31.4,40.299999999999997,35,49.5,46.5,41.6
Feb-10,36.299999999999997,53,35.5,33,41.5,34.9,43.4,47.7,42.1
Mar-10,37.799999999999997,54.2,35,31.5,42.5,31.7,43,41.2,42.7
Apr-10,38.200000000000003,53,33.799999999999997,30.9,42.5,33.700000000000003,39.6,43.7,42.4
May-10,38.9,56.5,35.700000000000003,31.9,43.3,33.200000000000003,44.8,42.6,44
Jun-10,40.200000000000003,57.8,35.700000000000003,32.700000000000003,44.1,34.4,47.3,45.2,44.9
Jul-10,41.1,61.7,36.700000000000003,32.9,47.2,32.4,48.6,43.5,46.7
Aug-10,41.5,61.2,37.1,33.700000000000003,47.5,33.299999999999997,48.1,42.4,47
Sep-10,42.1,62.3,36.1,31.8,47.7,28.2,44.4,42.5,46.9
Oct-10,43,64.2,36.9,34.1,48.8,30.3,47.4,50.4,48.4
Nov-10,44.5,64.5,38.299999999999997,33.6,49.2,29.5,40.1,52.7,49.5
Dec-10,45.3,64.8,38.9,32.9,52,31,41.7,48.2,50.2
Jan-11,44.9,65.5,39.700000000000003,33.799999999999997,53.4,29.9,40.200000000000003,51.9,50.7
Feb-11,44.9,62.4,40.5,33.299999999999997,51,29.3,37.200000000000003,47.5,49.8
Mar-11,44,62.1,41.3,33.299999999999997,52.2,28.5,38.700000000000003,47.4,49.8
Apr-11,43.8,64.5,42.3,35.6,54.4,29.8,41.5,48.3,50.9
May-11,43.1,59.5,40.5,33.1,50.6,30.1,37.4,44.4,48.4
Jun-11,41.3,58.4,40.6,32.200000000000003,50.4,24.5,39.6,41.6,47.4
Jul-11,41.7,58.5,40.9,32,53.6,23.3,37.1,44.5,48.1
Aug-11,41,55.2,38.9,29.5,52.3,27.9,35.200000000000003,44.9,46.4
Sep-11,39.6,53.6,38.799999999999997,28.7,52,26.4,37.200000000000003,42.2,45.4
Oct-11,39.6,52.8,38.1,28.1,49.8,25.8,38.1,39.799999999999997,44.7
Nov-11,38.799999999999997,51.8,37.6,26.8,49.3,24.3,38.9,37.799999999999997,43.9
Dec-11,40.6,53.6,39.5,28.9,54.3,24.9,42.4,40,46.4
Jan-12,40.4,54.9,39.4,28.1,52.4,25.5,39.6,37.299999999999997,46.2
