Month,NSW , VIC, QLD, SA , WA , TAS, NT , ACT, AUS
Jul-01,259.8,203,174.4,164.4,175.6,116.7,121.5,81.3,216.6
Aug-01,205,180.6,132.5,139.80000000000001,145.6,76.5,95.1,77.099999999999994,178.9
Sep-01,186.4,157.5,119.8,115.5,120.6,84.1,87.7,71.2,159.5
Oct-01,158.4,132.6,107.2,107.7,120.8,73.3,55.2,70,138.19999999999999
Nov-01,171.7,135,107.9,133.4,127.4,72.099999999999994,86.5,62.1,146.4
Dec-01,128.6,120.5,92.7,109.2,126.4,78.7,90,57.5,119.2
Jan-02,111.4,113.3,97.4,121.8,109.4,97,97.4,66.5,109.9
Feb-02,124.1,112.8,96.8,118.7,131.69999999999999,76.900000000000006,81.400000000000006,67.900000000000006,117.2
Mar-02,113.6,120.7,103.4,120,118.8,86.5,74,70.2,114.2
Apr-02,116.7,113.8,97.2,127.6,123.2,95.1,84.2,104.4,114.9
May-02,113.7,114.7,104.4,116.9,119.5,115.2,83.4,83.1,113.2
Jun-02,109.2,110.1,97.3,120.4,118.1,119.5,125.8,81.7,109
Jul-02,102.8,104.2,95.5,117.4,108.2,121.8,87.3,77.5,103
Aug-02,107.6,108.1,103.3,120.9,112.3,123.3,101.6,99,108
Sep-02,96.5,98,103.6,110.1,115.5,122.3,97.5,97.6,99.7
Oct-02,104.6,100.3,106,110.6,105.8,143.30000000000001,111.7,96.1,103.9
Nov-02,103.7,106.2,109.9,104.6,109.3,121.6,122.9,103.1,105.9
Dec-02,103.3,98.8,111.1,118.1,106.5,128.80000000000001,109.6,115.7,104.2
Jan-03,106.8,103.4,108.7,112.7,118.5,122.6,105.6,110.8,107
Feb-03,94.9,101.1,95.1,91.8,99.2,134.5,85.7,99.7,96.8
Mar-03,91.8,94.5,91.6,88.3,98.8,88,65.7,91.2,92.5
Apr-03,87.5,88.2,87.1,79.400000000000006,96.7,82,75.7,82.1,87.7
May-03,87.2,82.1,83.1,73.8,95.1,88.5,91.9,99,85.3
Jun-03,88.7,85.5,86.3,76.900000000000006,95.8,74.400000000000006,65.2,107.7,87.6
Jul-03,86.2,81.400000000000006,91.5,83.6,90.7,78.3,79.099999999999994,101.9,85.6
Aug-03,86.7,86.4,92.1,93.8,82.5,88,78.5,95.7,87.3
Sep-03,88.6,93,92.7,92.9,87.2,87.4,68.400000000000006,97.4,90.4
Oct-03,96.8,97.6,93.1,94.1,91.7,109.7,92,90.5,95.9
Nov-03,69.400000000000006,80,81.7,85.6,82,82.7,63.3,85.7,75.5
Dec-03,81.7,86.6,89.2,84.9,75.900000000000006,110,79.5,97.2,84
Jan-04,85.3,84.8,90.2,85.9,90.9,99.9,84.7,93.3,85.9
Feb-04,88.1,88.3,97.5,88.6,85.7,82.1,138.4,108.6,89.3
Mar-04,103.5,97.5,104.6,103.5,95.3,75.400000000000006,169.4,114.5,101.1
Apr-04,103.7,100.6,109.3,100.5,87.9,79.3,150.1,109.4,101.7
May-04,103.4,99.6,107.7,97.4,85.4,80.3,110.7,109.3,101
Jun-04,104.9,101.9,111.1,95.7,87.1,89.2,82.6,116,102.9
Jul-04,101.1,103.6,109.9,95.1,89.4,99.8,201.2,121.4,102.5
Aug-04,105.6,105.5,115.6,89.6,99.1,106.4,104.1,120.5,106.3
Sep-04,109.9,107.1,113.9,98.2,95.4,112,101.8,123.3,108.6
Oct-04,112.3,115.6,113.2,101.1,107.4,105.7,136.80000000000001,122.7,112.9
Nov-04,109.8,110.9,110,91.1,98.1,99.1,106.6,116.6,108.9
Dec-04,99,104,99.1,88.5,85.9,73.2,86.1,122.8,99.9
Jan-05,108.4,112.9,101.6,89.1,95.3,69.099999999999994,108.4,122.3,107.7
Feb-05,103.5,107.7,102.7,92.2,97.9,86.8,101.9,114.2,104.5
Mar-05,95.8,100.7,96,78.2,97.6,100.4,112.3,115,98.1
Apr-05,97.4,106.2,96.6,85.1,104.5,104.6,90,105.7,100.8
May-05,95,103.8,95.1,83.9,99.5,81.400000000000006,99.1,113.4,98.5
Jun-05,91.9,103.4,94.4,85.9,101.7,79.2,84.9,106.9,96.9
Jul-05,91.9,102.5,92.4,78.7,102.4,72.599999999999994,91.9,98.5,96.2
Aug-05,90.6,100,92.4,75.2,102.4,85.6,105.2,88.8,94.6
Sep-05,90.4,102.3,94.9,73.400000000000006,104.4,73.099999999999994,111.2,101.3,96.1
Oct-05,85,99.8,95.7,73.099999999999994,95.7,75.5,94.1,94.7,92.6
Nov-05,91.3,101.9,97.9,73.8,104.2,85.6,84.2,103.1,96.8
Dec-05,93,101.6,100.8,70,109.1,68.2,84.2,92.6,98.1
Jan-06,87.6,96.1,94.5,65,101.1,70.8,96.9,83.8,92.4
Feb-06,90.9,100.9,101.1,69.900000000000006,108.2,70.400000000000006,115.5,93.5,97.4
Mar-06,90.1,101.1,102.1,69.599999999999994,109.9,80.7,86.8,107.3,97.6
Apr-06,95.9,101.3,106.6,70.7,114.3,75.2,107.5,101,101.2
May-06,90,103.7,101.9,69.8,121,69.5,104.5,95.3,99
Jun-06,92.6,101.2,101.2,62.5,122.4,56.2,87.3,92.5,99
Jul-06,86.9,97.9,100.2,60.3,117.2,54.6,88,93.7,94.9
Aug-06,87.4,94.8,100.6,58.8,112.4,51.2,80.900000000000006,95,94.1
Sep-06,88,97,98.8,62.2,115.3,62.2,93.7,100.9,95.4
Oct-06,86.1,94.2,99.2,60.6,111.9,51.8,84.8,100.7,93.4
Nov-06,88.7,98.9,99.9,56.7,115.2,48.3,85.6,106.5,96.1
Dec-06,93.1,101.7,100.9,58.4,121.7,54.4,87.4,103.7,99.2
Jan-07,90.4,99.5,103.5,57.5,116.9,48.2,69,98.6,97.6
Feb-07,92,103.6,106.9,56.2,125.1,48.6,81.400000000000006,105.2,100.7
Mar-07,95,107.6,111.7,59.2,138.30000000000001,48.9,87.2,106.1,105
Apr-07,89.7,104.2,108.4,52.9,127.2,47.7,77.900000000000006,98.4,100
May-07,93,108.4,114.5,61.2,137.19999999999999,46.3,88.7,102.5,105
Jun-07,94.7,108.7,117.5,61.2,139.80000000000001,55.2,94,109.4,106.6
Jul-07,95.4,106.9,111.8,62.9,132.6,63.7,72.400000000000006,109.3,105.1
Aug-07,93.1,106.5,114.2,63.3,139.9,58.8,97.8,103,104.9
Sep-07,96.6,112.5,120.5,67,146.5,59.7,86,104.9,109.7
Oct-07,91.6,107.8,118.2,63,138.80000000000001,55.2,76.900000000000006,99.5,105.1
Nov-07,93.2,111.5,116.6,67,145.4,60.3,94.1,99.8,107.3
Dec-07,89.8,112,113,65.8,130.5,57.2,82.6,101.9,104.3
Jan-08,84.5,106.4,104.6,63.1,128.9,55.2,76.7,95.3,98.8
Feb-08,83.7,104,104,68,129.6,72.3,76.400000000000006,85.4,97.9
Mar-08,80.099999999999994,98.2,99.8,64.400000000000006,117.9,61.2,86.2,86,93.3
Apr-08,74.2,96.4,96.8,61.9,118.9,60.3,78.400000000000006,81.400000000000006,89.5
May-08,74.2,92.7,91.8,65.5,111.7,63.2,88.4,85.6,87.5
Jun-08,68.400000000000006,87.2,86.6,60.2,109.8,62.6,96.6,78.099999999999994,82.1
Jul-08,62,80.7,79.599999999999994,51.7,99.2,54.2,61.8,73.7,75.2
Aug-08,63.1,80.7,75.599999999999994,50.8,99.6,47.5,65,78.7,75.099999999999994
Sep-08,56.7,73.8,70,51.5,92.5,40.5,73.099999999999994,68.3,68.900000000000006
Oct-08,49.5,66.2,65.099999999999994,46.1,87.8,34.5,63.5,66.5,62.3
Nov-08,45.6,59.9,57.5,46.2,74.400000000000006,49.6,64.8,64.599999999999994,56.4
Dec-08,43.1,56.5,53,42.9,67.8,43.4,66.8,57.1,52.7
Jan-09,39.200000000000003,52,45.9,38.1,52.9,39.299999999999997,54,55.7,46.9
Feb-09,35.299999999999997,47.9,39.1,33.4,43.4,34.200000000000003,47.3,51.4,41.5
Mar-09,31.7,41.4,32.9,31.3,37.200000000000003,42.9,43.5,46.7,36.4
Apr-09,30.4,41.5,32.700000000000003,30.2,34.9,34.299999999999997,43.6,44.4,35.6
May-09,29.5,41.7,30.9,28.7,35.299999999999997,30.3,36,43.9,34.700000000000003
Jun-09,28,39.700000000000003,29.7,27.5,31.1,36.299999999999997,37.299999999999997,41.7,32.9
Jul-09,29.2,41,30.6,28,31.8,32.6,33.700000000000003,43.2,33.9
Aug-09,29.1,41.5,31.8,29.9,32.9,31.6,45.6,39,34.4
Sep-09,30.2,42.5,31.8,30.6,33.4,32.700000000000003,45.3,38.4,35.200000000000003
Oct-09,31.9,46.4,32.200000000000003,31.6,35,34.299999999999997,51.8,42.6,37.200000000000003
Nov-09,34.700000000000003,49.1,33.700000000000003,29.9,35.700000000000003,34.200000000000003,48.2,42.2,39.200000000000003
Dec-09,34.299999999999997,51,34.700000000000003,30.8,38.700000000000003,33.4,46.8,41.4,40.1
Jan-10,36.9,51.9,35.299999999999997,31.4,40.299999999999997,34.700000000000003,50.4,46.7,41.8
Feb-10,36.5,52.8,34.9,33,41.5,34.9,40.799999999999997,47.9,42
Mar-10,37.5,53.8,34.4,31.3,42.4,31.8,44.7,41.3,42.3
Apr-10,38.5,53,33.299999999999997,30.8,42.5,33.700000000000003,37.700000000000003,44.5,42.3
May-10,38.799999999999997,56.7,35.299999999999997,32.299999999999997,43.4,32.700000000000003,44.9,43.3,43.9
Jun-10,39.799999999999997,57.8,35.299999999999997,32.700000000000003,44.3,33.799999999999997,46.2,45.8,44.7
Jul-10,41.5,61.8,36.299999999999997,32.700000000000003,47.1,33.1,47.6,44.6,46.8
Aug-10,41,61.2,36.700000000000003,33.5,47.6,33.299999999999997,46.6,43.3,46.7
Sep-10,41.9,62.3,35.700000000000003,31.8,47.7,28.3,45.9,43.5,46.8
Oct-10,43.4,64.2,36.5,34,48.7,30.3,44.6,51.1,48.4
Nov-10,44,64.3,37.9,33.6,49,29.5,40.5,53.4,49.1
Dec-10,45.6,64.8,38.4,32.9,51.9,31.1,40.6,48.9,50.2
Jan-11,45.9,65.599999999999994,39.200000000000003,33.9,53.4,29.6,38.4,52.7,51
Feb-11,44.7,62.1,40,33.299999999999997,51,29.4,37.799999999999997,47,49.5
Mar-11,44.2,61.8,40.700000000000003,33.1,52.1,28.6,38.200000000000003,46.6,49.6
Apr-11,44.4,64.7,41.7,35.299999999999997,54.3,29.8,40.6,48.7,51
May-11,43.3,60,40.4,33.799999999999997,51,29.6,36.700000000000003,44.6,48.6
Jun-11,40.799999999999997,58.6,40.4,32.200000000000003,50.8,23.9,40.1,40.6,47.3
Jul-11,41.8,58.6,40.5,31.6,53.3,23.9,35.5,45.7,48.1
Aug-11,40.799999999999997,55.2,38.6,29.3,52.2,27.9,35.299999999999997,45.6,46.3
Sep-11,39.6,53.5,38.4,28.7,51.9,26.5,35.9,43.2,45.4
Oct-11,39.1,52.6,37.6,28.1,49.7,25.9,37.6,40.6,44.4
Nov-11,38.299999999999997,51.5,37.200000000000003,26.9,49,24.3,38.799999999999997,38.5,43.6
Dec-11,41.3,53.4,38.700000000000003,29,54.1,24.8,41.4,41,46.4
Jan-12,39.9,54.3,38.6,28.3,51.6,27.5,37.700000000000003,38.1,45.6
Feb-12,39.1,52.8,37.6,28.5,51.3,23.7,33.200000000000003,39.5,44.8
Mar-12,39.4,53.1,37.700000000000003,29.2,51,24.8,34.200000000000003,40.5,45
Apr-12,37.6,50.5,36.5,28.4,48.7,24.7,36.200000000000003,36.200000000000003,43
May-12,37.700000000000003,49.1,35.299999999999997,26.5,47.8,26.3,29.5,35.4,42.2
Jun-12,38.799999999999997,49.8,34.6,28.2,46.2,25.8,34.1,36.6,42.4
Jul-12,37.6,47.8,33.5,28.5,46.5,19.7,28.8,31.8,41.2
