Month,NSW , VIC, QLD, SA , WA , TAS, NT , ACT, AUS
Jul-01,97.1,76.3,61.3,73.3,68.400000000000006,36.5,55.3,60.1,82.4
Aug-01,97.7,84.5,59.4,77.3,73.2,40.5,63.9,72.3,85.4
Sep-01,97.2,77.099999999999994,56.2,65.900000000000006,62.3,35.6,51.6,62.3,81.3
Oct-01,92.5,70.599999999999994,51,64.2,63.4,38.9,36.6,61.7,76.7
Nov-01,91,72,57.4,81.2,67.7,40.700000000000003,46,61.6,78.2
Dec-01,77.900000000000006,65.5,51.6,68.7,69.599999999999994,38.700000000000003,42.1,47.7,68.900000000000006
Jan-02,73.8,63.6,53.8,73.900000000000006,58,40.9,52.5,60.4,66.599999999999994
Feb-02,78.599999999999994,65.5,54.7,73.8,73.2,44.2,54.9,60,70.5
Mar-02,81.3,73.5,62.2,78.5,71.3,49.9,47.8,62.7,75
Apr-02,85.2,73.3,63.3,85.2,76.3,51.9,54.6,93.6,78.400000000000006
May-02,81.2,73.5,65.8,74.8,72.900000000000006,59.9,62.9,81.099999999999994,76.099999999999994
Jun-02,82.9,75.5,67.8,81.900000000000006,80.7,65,89.3,75.2,78.400000000000006
Jul-02,81,75.5,68.7,82.1,73.400000000000006,65.5,80.5,77,77.2
Aug-02,80.599999999999994,75.599999999999994,71.2,83.3,69,69,73,83,77.3
Sep-02,78.5,75.2,73.3,81.7,74.099999999999994,79.400000000000006,77.2,92.3,77.099999999999994
Oct-02,81,77.900000000000006,77.400000000000006,86.1,72.900000000000006,82.1,87.9,88.5,79.5
Nov-02,81.099999999999994,78.599999999999994,74.400000000000006,77.599999999999994,69.7,77.400000000000006,96.9,90.5,79
Dec-02,84.5,79.900000000000006,78.400000000000006,91.9,70.5,80.8,93.2,107.6,82.5
Jan-03,85.7,85,82.4,90.9,85,77.5,95.3,96.2,85.5
Feb-03,83.3,89.6,84.4,82,76.400000000000006,81.2,79,90.8,84.8
Mar-03,82.8,88.7,81.099999999999994,90,80.5,71.2,73.099999999999994,89.2,84.3
Apr-03,79.900000000000006,80.400000000000006,76.900000000000006,80.5,81.2,73.400000000000006,65.3,75.599999999999994,79.5
May-03,85.1,81.7,80.099999999999994,83.7,83.3,72,76.7,91.1,83.4
Jun-03,86.4,86.1,83,86,83.4,90.7,74,97,85.9
Jul-03,88.9,88.4,88.6,95,86.1,110.1,78.8,95.5,89
Aug-03,90.3,89.5,89.4,101.2,82.3,100.6,78.5,94.3,89.9
Sep-03,92.5,97.6,95.9,97.6,89.3,97.2,77.3,93.7,94.2
Oct-03,95.7,100.8,100.1,98.8,98.3,101.7,93.5,87.6,97.7
