Month,NSW , VIC, QLD, SA , WA , TAS, NT , ACT, AUS
Jul-01,238.1,202.5,157.4,163.9,175.2,116.4,120.7,80.599999999999994,206.9
Aug-01,181.9,179.3,123.4,139.6,145.19999999999999,75.599999999999994,94.4,77.3,167.4
Sep-01,177.8,156.9,113,115.6,120.2,84.3,87.5,71.2,155.4
Oct-01,156.4,132.4,101.9,107.8,120.5,73.5,55.5,69.900000000000006,137.19999999999999
Nov-01,153.69999999999999,135.1,104.3,133.4,127.2,71.5,86.1,62.4,137.9
Dec-01,131.5,121.2,90.3,109.3,126.3,78.7,90.6,57.3,120.6
Jan-02,117.7,113.9,97.3,121.8,109.6,97.6,97.4,66.599999999999994,113.1
Feb-02,119.3,113,96.7,118.8,131.9,76.900000000000006,81.900000000000006,67.900000000000006,114.9
Mar-02,115,120.5,103.5,120.1,119,86.3,74.5,70.3,114.9
Apr-02,115.2,113.8,97.2,127.6,123.5,95.2,84.5,104.4,114.2
May-02,113.4,114.9,104.6,116.9,120,116,83.5,83.5,113.2
Jun-02,109.1,110.2,97.5,120.5,118.1,119.6,127.4,81.900000000000006,109
Jul-02,100.7,104,95.6,117.1,107.9,121.2,86.6,77.5,101.9
Aug-02,108.4,107.5,103.4,120.7,112,122.2,101.1,98.6,108.2
Sep-02,97,97.7,103.6,110.1,115.2,122.4,97.1,97.7,99.9
Oct-02,102.2,100.1,106.1,110.6,105.6,143.9,112.1,96.1,102.8
Nov-02,105.5,106.3,109.8,104.6,109.2,121.1,122.4,103,106.8
Dec-02,104.4,99.2,111.2,118.1,106.4,128.69999999999999,110,115.8,104.9
Jan-03,107.8,103.8,108.6,112.6,118.6,123.2,105.6,110.6,107.6
Feb-03,95.4,101.2,95.1,91.8,99.3,134.69999999999999,86.2,99.7,97.1
Mar-03,90.1,94.4,91.6,88.3,98.9,87.8,66,91.4,91.7
Apr-03,87.8,88.2,87.1,79.5,96.9,82.2,76,82.2,87.8
May-03,85.9,82.2,83.1,73.8,95.5,89.1,92.3,99.2,84.9
Jun-03,86.4,85.6,86.3,76.900000000000006,95.8,74.400000000000006,66.099999999999994,107.8,86.6
Jul-03,85.1,81.2,91.4,83.5,90.4,77.599999999999994,78.599999999999994,101.7,85
Aug-03,88.6,86.1,92,93.8,82.2,87.5,78.400000000000006,95.7,88.1
Sep-03,87.1,92.8,92.6,92.9,87,87.5,68,97.3,89.7
Oct-03,93.1,97.5,93,94.1,91.6,110.3,92.2,90.5,94.2
Nov-03,72.900000000000006,80,81.7,85.6,81.900000000000006,82.5,63.1,85.5,77.099999999999994
