Month,NSW , VIC, QLD, SA , WA , TAS, NT , ACT, AUS
Jul-01,98.9,77.8,62.3,74.2,69,39.1,55.8,61.3,83.9
Aug-01,98.7,87.1,59.8,78.400000000000006,74.099999999999994,48.6,63.6,73.8,86.8
Sep-01,96.4,75.7,55.9,65,61.3,30,49.6,60.9,80.400000000000006
Oct-01,93.1,70.8,50.6,64.400000000000006,63.6,39.700000000000003,39.200000000000003,61.7,77
Nov-01,91.5,73.3,57.7,82.5,69.2,45.1,44.2,62.4,78.900000000000006
Dec-01,79.2,65.8,51.8,69.8,71.7,30.8,45.6,48.4,69.8
Jan-02,73.599999999999994,62.6,53.6,73.5,57.9,38.700000000000003,51.7,59.8,66.2
Feb-02,78,65.2,54.5,74.099999999999994,73.3,45.8,54.4,59.9,70.2
Mar-02,80.7,72.3,61.7,77.2,69.8,56.2,49.3,61.5,74.099999999999994
Apr-02,85.2,73.7,63.6,85.2,76,45.7,53.6,94.2,78.5
May-02,81.599999999999994,74.3,66.3,75.7,73.099999999999994,60.7,67,82.4,76.599999999999994
Jun-02,82.1,74,67.599999999999994,80.400000000000006,79.099999999999994,71.3,85.8,73.900000000000006,77.5
Jul-02,80.900000000000006,76,68.7,82,73.099999999999994,65.599999999999994,80.599999999999994,77.400000000000006,77.2
Aug-02,80.3,75.400000000000006,70.900000000000006,82.3,68.099999999999994,62.4,71.400000000000006,82.2,76.900000000000006
Sep-02,79.2,76.2,73.8,82.8,75.2,90.2,77.900000000000006,93.1,77.900000000000006
Oct-02,80.900000000000006,78.2,76.8,86.2,73.3,86.5,89.4,88.7,79.599999999999994
Nov-02,80.900000000000006,77.599999999999994,74.099999999999994,76.8,69.3,67,95,89.1,78.400000000000006
Dec-02,84.8,80.3,78.2,92.9,72.3,71.400000000000006,97.2,108.9,82.8
Jan-03,86.3,85.1,83,91.7,85.9,78.5,94.5,96.5,86
Feb-03,85.1,90.7,86,83.4,77.599999999999994,82.3,82.5,92.1,86.3
Mar-03,83.4,90.1,82.7,91.2,81.3,75.5,72.900000000000006,90.3,85.3
Apr-03,80.3,80.7,77.2,80.8,81.099999999999994,80,68.599999999999994,76.099999999999994,79.900000000000006
May-03,84.3,80.099999999999994,79.8,82.4,81.3,59.6,74.5,89.9,82.3
Jun-03,86.9,87.2,83.3,87.1,84.3,91.5,77.5,98.4,86.6
Jul-03,88.8,89,88.7,95.1,85.8,146.80000000000001,77.8,96.1,89.2
Aug-03,90.1,88.1,89.1,99.4,80.7,83.9,75.900000000000006,92.6,89.1
Sep-03,92.5,98.6,95.9,98.2,90,98,80.5,94,94.6
Oct-03,96.3,102.7,100.4,100.2,100.1,120.8,90.4,89.1,98.8
Nov-03,90.9,96.2,100.5,100.3,106.1,75.2,95.1,74.599999999999994,94.5
Dec-03,98.9,109.5,105.4,113.5,104.8,123.4,105.5,107.7,103.8
Jan-04,103.4,108.5,107.4,107.1,115.5,154.6,106.1,94,106.2
Feb-04,112.9,113.8,117.5,110.8,114.6,116.9,138.4,105.5,113.8
Mar-04,120.9,122.3,125.6,115.7,122.3,140.5,173,111.3,121.9
Apr-04,129,136.6,140,122.1,124.1,102.4,178.1,117.8,131.80000000000001
May-04,128.9,130.6,138.5,123.2,129.1,136.9,130.19999999999999,113,130.1
Jun-04,128.80000000000001,133.5,140.9,123.5,133.5,123.6,106.8,129,131.69999999999999
Jul-04,127,132.5,141,116.6,134.69999999999999,141.4,149.1,137.80000000000001,131.1
Aug-04,133.6,136.1,150.19999999999999,121.5,149.30000000000001,168.1,151.4,134.69999999999999,137.5
Sep-04,138.80000000000001,140.80000000000001,157.5,140,156.5,178.7,153.30000000000001,140.19999999999999,143.5
Oct-04,145.1,153.9,164,151.19999999999999,165.1,161.69999999999999,150,146.80000000000001,151.80000000000001
Nov-04,149.4,157.9,166.8,144.80000000000001,171.5,157.9,156.5,151.9,155.6
Dec-04,150.1,149.9,168.9,130.69999999999999,164.3,140.4,137.9,149.5,152.9
Jan-05,156.6,162.6,175.7,145,178.7,167.4,141.6,157.9,162
Feb-05,154.1,162.80000000000001,182.1,156.9,182.4,180.7,163.6,166.2,162.9
Mar-05,154.5,159.5,189.5,152.1,199.2,197.2,162.9,182.6,164.7
Apr-05,158,172.2,206.3,166.9,213.3,184.9,167.6,163.5,172.9
May-05,162.80000000000001,181.1,217.1,173.9,220.2,185.6,175,186.3,180.4
Jun-05,165.5,187.5,223.1,175.9,231,159.80000000000001,179.6,176.5,184.5
Jul-05,168.1,181.6,229.4,174.5,225.4,183.4,189.3,170.5,184.6
Aug-05,171.6,191.6,241.7,178.4,245.8,180,201.7,161.80000000000001,191.9
Sep-05,177,198.5,253.7,192.1,258.2,189.9,223,191.2,200.1
Oct-05,174.8,195.8,262,186.6,256.8,223.9,243.7,184.3,199.4
Nov-05,181.7,209,263,199.9,263.3,229.5,231.6,206.9,207.6
Dec-05,182.7,197.7,271.2,196,263.5,170.5,227,190.4,205.4
Jan-06,195,212.4,292.3,208.5,294.5,205.2,262.60000000000002,190.8,220.8
Feb-06,196.7,218.6,307.60000000000002,223.8,321.2,250.2,265.8,220.5,228.7
Mar-06,199.7,223.6,314.5,234.8,341.4,235.7,241.5,237.1,234.4
Apr-06,197.8,214.5,310.3,224.5,325.60000000000002,273.8,264.2,224.4,229.1
May-06,203.8,231.8,323.7,234.8,353.1,247.6,309.5,227.9,240.6
Jun-06,211.8,235.2,335.5,234,385,313.2,294.89999999999998,234.3,249.4
Jul-06,215.8,239.9,344.7,247.4,381.4,281,253.4,242.3,253.9
Aug-06,215.5,234,351.3,237.3,389.1,264.39999999999998,273.10000000000002,236.6,253.2
Sep-06,215.9,240.7,364.3,248.4,403.7,270.89999999999998,298,262.10000000000002,259.2
Oct-06,223.3,250.8,390.2,257.3,403.5,294,279.7,272.7,269.39999999999998
Nov-06,226.4,258.7,395.6,250.4,424.5,302.5,303.3,275.5,275.10000000000002
Dec-06,236.5,272.8,417.4,272.60000000000002,431.7,251.2,322.8,280,287.8
Jan-07,235.5,262.2,412.4,260.39999999999998,429.8,285.3,293.89999999999998,264.8,282.89999999999998
Feb-07,248.2,282.7,445.8,272.7,485.3,307.3,317.8,276,303.5
Mar-07,253.6,295.2,465.3,291.10000000000002,508.3,370.9,365.1,293.5,315.10000000000002
Apr-07,257.3,304.10000000000002,479.5,291.60000000000002,510.8,345.3,358.9,288.8,321.10000000000002
May-07,259.10000000000002,305.10000000000002,490.4,319,537.5,344.5,354.8,289.2,326.39999999999998
Jun-07,263.7,307,498.2,330.8,548.5,321.89999999999998,361.6,312.7,331.9
Jul-07,280,329.7,529.9,355.4,586.20000000000005,430.5,369.9,324.39999999999998,354
Aug-07,280.8,327,535.6,364.3,585.20000000000005,391.2,375.3,315.89999999999998,354.3
Sep-07,285.89999999999998,337.8,552.9,381.8,602.6,448.2,362.1,313.7,363.7
Oct-07,294,345.5,575.6,382.5,618.70000000000005,398,409.6,305.10000000000002,373.6
Nov-07,307.60000000000002,374.1,602.4,407.8,674.2,444.9,435.8,329.8,396.7
Dec-07,314.7,382.3,620.70000000000005,404.2,669.9,355.3,452.5,350.7,404.6
Jan-08,306,367.2,598.6,410.5,659,468.3,451.8,333.9,393
Feb-08,301.60000000000002,368.4,596.5,432.8,673.4,477.3,435.4,316.89999999999998,392.1
Mar-08,301.10000000000002,359,592.70000000000005,430.2,669.4,556.9,463.5,329.1,389.4
Apr-08,298.8,359.3,605.1,436.1,694,502.7,483,297,391
May-08,299.8,361.7,605.1,482.5,706.3,522.4,547.9,322.60000000000002,395.6
Jun-08,287,354.6,602.29999999999995,439.3,680.7,505.2,558.4,311.3,384
Jul-08,273.89999999999998,333.1,585.70000000000005,403.4,692.7,410.3,495.8,294.7,368.5
Aug-08,258.5,323.8,562.1,386.3,681.5,395.4,496.5,308.2,354.7
Sep-08,243.3,315.3,533.29999999999995,380.1,689,374.9,503,293.10000000000002,341.2
Oct-08,224.4,293.10000000000002,507.6,365.9,663.6,371.4,522.9,301.10000000000002,321.3
Nov-08,212.6,271.3,488.1,362.4,597.6,416.5,518.4,305.3,303
Dec-08,198.6,265.60000000000002,460,346,554,306.39999999999998,484.5,276.60000000000002,286.2
Jan-09,180.8,237.8,403.3,304.3,482.9,350.7,452.8,268,256.3
Feb-09,162.69999999999999,215,351,287.60000000000002,396.8,290.3,433.6,251.1,227.4
Mar-09,151.1,198.7,313.7,255.5,360.6,351.9,473.7,236.9,209
Apr-09,144.9,193.4,301.8,254.9,337.4,337.2,463.5,236.6,201.4
May-09,141.19999999999999,195.7,289,251.8,335.5,362.3,418.7,239.7,198.2
Jun-09,140.4,191.7,292.89999999999998,252.4,324.39999999999998,304.8,412.8,236.7,196.3
Jul-09,141.30000000000001,196.5,289.8,249.6,335,309.3,387.9,248.9,198.4
Aug-09,146.80000000000001,208.4,304.3,271.5,366,352.2,427.9,236.4,208.9
Sep-09,154.5,211.5,309.5,287.39999999999998,384.8,331.2,493.1,223.6,215.7
Oct-09,160.30000000000001,221.4,317.39999999999998,299,397,316,503.3,253.2,224.1
Nov-09,169.4,227.4,323.60000000000002,288.2,412.1,313.89999999999998,481.7,250.3,231.2
Dec-09,173.1,238.3,334.6,295,437.2,284.89999999999998,501.1,239.2,238.9
Jan-10,184.4,249.1,357.8,319.3,473.1,388.4,511.4,293.10000000000002,255.5
Feb-10,186.3,251.8,354.5,318.89999999999998,482.4,347.2,492.8,284.39999999999998,256.7
Mar-10,191.9,255.6,356.2,314.5,493.6,411.3,474.6,254.9,260.39999999999998
Apr-10,192.7,254.1,354.7,306.8,517.6,412.8,474,276.5,262.2
May-10,200.7,268.3,373.9,322.3,522.1,420.3,521.20000000000005,282.10000000000002,273.5
Jun-10,206.1,272,381.5,329.1,513.5,378,554.29999999999995,288.2,277.89999999999998
Jul-10,214.2,295.60000000000002,398.8,352.4,572.1,417.9,575.6,300.7,295.5
Aug-10,212.6,284.10000000000002,398.7,340.4,563.9,401.4,546.29999999999995,293.3,290.39999999999998
Sep-10,213.7,285.2,402.5,333.9,564.70000000000005,357.9,500.2,279.5,290.8
Oct-10,215,295.8,408.4,348.1,583.5,379.4,507.8,338.7,298.60000000000002
Nov-10,221,289.8,419.9,354.7,598.70000000000005,358,497.9,351,302.89999999999998
Dec-10,227.8,307.89999999999998,441.4,367.1,664,340,533.5,341.4,318.5
Jan-11,232.7,320.60000000000002,449.1,382.6,671.5,494.4,559.20000000000005,359.2,327.39999999999998
Feb-11,231.4,306,457.4,382.9,647.79999999999995,388.8,523.79999999999995,346.1,321.5
Mar-11,229.9,304.89999999999998,466.7,374,667.8,414,542.1,337.9,323
Apr-11,231.1,321.2,485,413.4,696.3,460.4,575.6,360.4,334.6
May-11,226.7,315.60000000000002,481.9,382.5,690.3,483.9,553,329,328.3
