Month,NSW , VIC, QLD, SA , WA , TAS, NT , ACT, AUS
Jul-01,98.9,77.8,62.4,74.3,69.099999999999994,39.1,56.6,61.5,83.9
Aug-01,98.7,87,59.8,78.599999999999994,74.2,48.6,64.8,74.400000000000006,86.8
Sep-01,96.4,75.7,56,64.900000000000006,61.4,30,50.7,61.2,80.400000000000006
Oct-01,93.1,70.7,50.7,64.3,63.7,39.6,36.4,61.6,77
Nov-01,91.5,73.3,57.4,82.6,69.099999999999994,45,46.7,61.8,78.900000000000006
Dec-01,79.2,65.900000000000006,51.6,69.7,71.400000000000006,30.8,43,48.1,69.8
Jan-02,73.599999999999994,62.7,53.5,73.5,57.6,38.700000000000003,51.9,59.2,66.2
Feb-02,78,65.3,54.4,74,73.3,45.8,55.1,59.5,70.2
Mar-02,80.7,72.3,61.7,77.3,69.8,56.2,47.2,61.3,74.099999999999994
Apr-02,85.2,73.599999999999994,63.7,85.3,76.099999999999994,45.7,54.7,94.8,78.5
May-02,81.599999999999994,74.3,66.400000000000006,75.7,73.2,60.7,63.7,82.9,76.7
Jun-02,82.1,74,67.7,80.400000000000006,79.400000000000006,71.3,87.9,74.3,77.5
Jul-02,80.8,76,68.900000000000006,82.1,73.2,65.5,81.099999999999994,77.7,77.3
Aug-02,80.3,75.3,71.099999999999994,82.5,68.099999999999994,62.4,72.099999999999994,82.8,76.900000000000006
Sep-02,79.2,76.2,73.8,82.7,75.2,90.2,78.2,93.6,78
Oct-02,80.900000000000006,78.2,76.7,86.2,73.400000000000006,86.4,87.6,88.6,79.5
Nov-02,80.900000000000006,77.599999999999994,74,76.8,69.099999999999994,67,95.6,88.2,78.400000000000006
Dec-02,84.8,80.3,77.900000000000006,92.9,72,71.5,94.5,108.5,82.8
Jan-03,86.4,85.1,82.6,91.7,85.7,78.5,95.6,95.7,85.9
Feb-03,85.1,90.7,85.8,83.4,77.599999999999994,82.3,80.400000000000006,91.7,86.2
Mar-03,83.4,90.1,82.7,91.2,81.3,75.5,74.3,90.1,85.3
Apr-03,80.3,80.7,77.5,80.900000000000006,81.2,80.099999999999994,65.599999999999994,76.400000000000006,79.900000000000006
May-03,84.3,80.099999999999994,79.900000000000006,82.3,81.400000000000006,59.6,75.599999999999994,90.3,82.4
Jun-03,86.9,87.2,83.4,87.1,84.5,91.5,75,98.9,86.6
Jul-03,88.8,89,88.7,95.2,85.9,146.69999999999999,79.5,96.5,89.2
Aug-03,90.2,88,89.4,99.5,80.7,84,77,93,89.2
Sep-03,92.5,98.5,96,98.2,90.1,97.9,77.8,94.5,94.6
Oct-03,96.3,102.7,100.4,100.3,100.3,120.7,94.5,88.9,98.8
Nov-03,90.9,96.2,100.3,100.2,105.9,75.3,88.2,73.900000000000006,94.4
Dec-03,98.9,109.6,105.1,113.5,104.4,123.5,112.9,107.5,103.8
Jan-04,103.4,108.6,107.1,107,115.2,154.69999999999999,97.3,93.3,106.1
Feb-04,112.9,113.9,117.4,110.7,114.4,116.9,149.4,105,113.8
Mar-04,120.9,122.3,125.6,115.8,122.3,140.5,168.9,111.4,121.9
Apr-04,129,136.6,140.1,122.2,124.1,102.4,173,118,131.69999999999999
May-04,128.9,130.6,138.6,123.2,129.19999999999999,136.9,139.5,113.4,130.19999999999999
Jun-04,128.80000000000001,133.4,141.1,123.6,133.80000000000001,123.6,91.4,129.5,131.69999999999999
Jul-04,127,132.5,141.30000000000001,116.5,134.9,141.4,177,138.19999999999999,131.19999999999999
Aug-04,133.6,136,150.5,121.5,149.5,168,129.5,134.9,137.5
Sep-04,138.9,140.80000000000001,157.80000000000001,140.19999999999999,156.69999999999999,178.7,176.9,140.69999999999999,143.69999999999999
Oct-04,145.1,153.9,164,151.30000000000001,165.5,161.80000000000001,131.80000000000001,146.69999999999999,151.69999999999999
Nov-04,149.4,158,166.5,144.6,171.1,157.9,172.9,150.9,155.5
Dec-04,150.1,149.9,168.3,130.6,163.69999999999999,140.30000000000001,126.5,149.30000000000001,152.69999999999999
Jan-05,156.6,162.69999999999999,175.1,144.80000000000001,178.3,167.5,145,157,161.9
Feb-05,154.1,162.9,181.8,156.80000000000001,182.2,180.7,161.30000000000001,165.9,162.80000000000001
Mar-05,154.5,159.5,189.8,152.1,199.1,197.3,162.4,182.8,164.8
Apr-05,158,172.2,206,167,213.3,184.9,166,163.5,172.8
May-05,162.80000000000001,181.1,217.1,174,220.3,185.6,174.6,186.7,180.4
