Month,NSW , VIC, QLD, SA , WA , TAS, NT , ACT, AUS
Jul-01,240.1,203.7,177,180.5,174.8,124.4,112.2,77.5,211.2
Aug-01,179.1,178.1,130.19999999999999,149.4,143.9,89.8,92.3,73.8,166.8
Sep-01,177.3,153.6,119.6,122,119.7,71.599999999999994,80.900000000000006,67.099999999999994,155.1
Oct-01,156.19999999999999,130.6,106.4,112.8,120.6,75,57.8,67,137.30000000000001
Nov-01,151.5,134.6,106.6,138.30000000000001,127.5,77.7,80.2,59.9,137.1
Dec-01,132.1,121.1,91.7,112.5,128,61.1,89.1,56.7,121.2
Jan-02,118,113.7,98.1,121.8,110,93.5,97.2,65.2,113.3
Feb-02,118.3,113,96.8,119,132.69999999999999,79.099999999999994,80.3,67.400000000000006,114.5
Mar-02,115.5,120.2,105,119.8,118.8,98.3,74.099999999999994,68.900000000000006,115.2
Apr-02,115.1,114.5,97.6,127.8,122.7,84.4,82.6,103.9,114.4
May-02,113.6,116,106.1,117.3,119.5,116.9,89.1,82.5,113.9
Jun-02,110.4,110.3,99.2,120.2,117.7,131.6,120.2,80.5,109.9
Jul-02,100.6,104.2,94.9,117.2,107.4,122.6,89.6,77.099999999999994,101.8
Aug-02,108.5,107.1,102.6,120.6,111.2,112.4,101.7,98,107.9
Sep-02,96.3,97,101.6,110,115.3,136.4,97.9,96.7,99.1
Oct-02,102.1,100,104.8,110.6,106.1,151.69999999999999,114.8,95.3,102.5
Nov-02,105.8,105.9,109.7,104.5,109.2,105.6,121.5,101.6,106.8
Dec-02,103.9,99.3,110.1,118.4,107.7,111.7,111.3,115.8,104.6
Jan-03,107.9,103.8,108.8,112.7,119,124.4,105.3,110,107.6
Feb-03,95.9,100.9,95.1,92,99.7,133.30000000000001,87.8,99.6,97.3
Mar-03,89.5,94.3,91.2,88.3,98.9,91.5,63,91,91.3
Apr-03,88,88.2,88,79.5,96.3,89.8,77.3,82.4,88
May-03,87,82.3,84.6,73.900000000000006,94.9,75.2,89.6,98.5,85.5
Jun-03,86,85.6,86,76.900000000000006,95.8,73.2,66.900000000000006,108.4,86.4
Jul-03,84.6,81,91.2,83.5,89.9,104.5,78.900000000000006,101.7,84.7
Aug-03,89.8,86,92.8,93.6,81.900000000000006,74.599999999999994,75.7,95.1,88.6
Sep-03,86.8,93.3,92.3,93.1,87.5,87.1,72.400000000000006,97.8,89.7
Oct-03,92.6,98.3,92.2,94.2,92.1,129.30000000000001,88.3,90.7,94.1
Nov-03,73.5,79.3,81.2,85.3,81.8,62.9,66.7,85.3,77.099999999999994
Dec-03,80.3,86.6,88,85,76.2,102.8,75.099999999999994,97.2,83.2
Jan-04,83.8,84.3,89.5,85.3,91.1,112,89.3,93.5,85.1
Feb-04,91.1,88.3,97.3,88,85.7,76.099999999999994,125.1,108.4,90.6
Mar-04,102.4,97.8,104.9,103.4,95.6,85,176.7,116.1,100.8
Apr-04,102.6,100,109.2,100.2,87.4,72.400000000000006,152.80000000000001,110.2,100.9
May-04,103.9,99.3,107.4,97.3,85.2,87.2,101.3,110.9,101.1
Jun-04,104.7,102.3,112.6,95.8,87.1,86.6,98.9,117.7,103.2
Jul-04,101.8,103,110.7,94.9,88.6,100.5,171,121.3,102.5
Aug-04,105.1,105.6,114.7,89.7,98.7,111,122.2,122.2,106.2
Sep-04,111.8,107.9,114.4,98.5,95.9,116.4,90.6,124.9,109.7
Oct-04,111.6,116,114,101.2,108.1,105.2,150,123.1,113.1
Nov-04,109.4,110.7,109,91.4,98.1,94,98.2,117.5,108.4
Dec-04,102.1,104.2,98.3,89,86.1,60.9,96.5,123.7,101.2
Jan-05,106.1,112.7,101.3,89.8,95.5,68.599999999999994,101.9,123.1,106.6
Feb-05,103.1,107.6,102.7,93,98.3,86.5,101.6,115.1,104.4
Mar-05,97.7,100.9,96.4,78.8,97.9,106.6,108,117.2,99.1
Apr-05,95.5,105.3,96.7,85.5,103.5,106.9,91,104.8,99.7
May-05,93.7,103.5,94.4,84.5,99.2,83.6,98,115.3,97.8
Jun-05,91.6,103.5,94.5,86.5,101.8,73.5,87.5,108.9,96.9
Jul-05,92.1,101.6,92.3,79,101.5,78.7,88,98.8,96.1
Aug-05,89.8,100.1,92.3,75.7,101.9,86.6,106.6,89.8,94.3
Sep-05,90.2,102.9,95.1,73.8,104.9,70,111.4,102.5,96.3
Oct-05,85.9,100.1,95.2,73.400000000000006,96.4,77.900000000000006,90.6,95.7,93.1
Nov-05,90.5,101.8,98.1,74.2,104.5,87.2,84.6,103.8,96.4
Dec-05,93.5,101.1,101.2,70.099999999999994,109.2,54.3,86.5,91.5,98.2
Jan-06,87.4,96.1,93.3,65.2,101.3,67.8,96.9,84,92.1
Feb-06,90.8,100.9,101.1,70.2,108.6,73.900000000000006,114.5,93.7,97.5
Mar-06,90.4,101.7,101.8,69.900000000000006,110,82.3,89.1,107.9,97.9
Apr-06,95.8,100.1,106.7,70.599999999999994,113.4,79.3,101.7,99.5,100.8
May-06,90.7,103.8,102.4,70.099999999999994,120.6,66.7,107.9,94.9,99.3
Jun-06,92.2,101.5,100.9,62.8,122.5,59,88.2,92.7,99
Jul-06,86.6,97.5,99.4,60.5,116.5,56.4,87.6,94,94.5
Aug-06,88.6,94.8,101.2,59,111.8,50.5,82.2,94.7,94.6
Sep-06,87.9,97.2,99.2,62.2,115.8,61.8,90.8,100.3,95.6
Oct-06,86.6,94.4,98.7,60.8,112.5,51.8,84.7,101.2,93.7
Nov-06,89.3,98.8,99.5,56.7,115.6,48.1,86.5,106.7,96.2
Dec-06,91.1,100.8,101.2,58.3,121.9,46.2,83,102.6,98.1
Jan-07,91.4,99.5,101.6,57.5,116.9,46.3,71.5,98.7,97.6
Feb-07,92,103.7,106.1,56.3,125.5,47.5,81,106.2,100.6
Mar-07,94.5,107.8,112.4,59.2,138.5,55.2,86.8,105.6,105.1
Apr-07,89.2,103.5,107,52.7,126.5,48.3,76.3,98.3,99.2
